"x","y","era_grupo","region"
1.87216478253769,-0.582915209034632,"Pre-1990","pampeana"
1.8905365573037,-0.549738844101441,"Pre-1990","pampeana"
1.90697359819225,-0.516241004509163,"Pre-1990","pampeana"
1.92145952040353,-0.482455081632803,"Pre-1990","pampeana"
1.93397988405525,-0.448414754015049,"Pre-1990","pampeana"
1.94452220857662,-0.414153953794767,"Pre-1990","pampeana"
1.95307598514929,-0.379706832882709,"Pre-1990","pampeana"
1.95963268718276,-0.345107728918144,"Pre-1990","pampeana"
1.96418577881383,-0.310391131040353,"Pre-1990","pampeana"
1.96673072142176,-0.275591645509105,"Pre-1990","pampeana"
1.96726497815241,-0.240743961208386,"Pre-1990","pampeana"
1.96578801644704,-0.20588281506776,"Pre-1990","pampeana"
1.96230130857321,-0.17104295743585,"Pre-1990","pampeana"
1.95680833015715,-0.136259117440428,"Pre-1990","pampeana"
1.94931455671921,-0.101565968369667,"Pre-1990","pampeana"
1.93982745821572,-0.0669980931090576,"Pre-1990","pampeana"
1.9283564915928,-0.0325899496684283,"Pre-1990","pampeana"
1.91491309135943,0.0016241631665426,"Pre-1990","pampeana"
1.89951065818933,0.0356101400241047,"Pre-1990","pampeana"
1.88216454556286,0.0693341029434111,"Pre-1990","pampeana"
1.86289204446232,0.102762435144807,"Pre-1990","pampeana"
1.84171236613594,0.135861814539766,"Pre-1990","pampeana"
1.81864662294767,0.168599246947074,"Pre-1990","pampeana"
1.79371780733196,0.200942098982144,"Pre-1990","pampeana"
1.76695076887436,0.232858130586687,"Pre-1990","pampeana"
1.73837218954091,0.264315527166301,"Pre-1990","pampeana"
1.70801055708103,0.29528293130395,"Pre-1990","pampeana"
1.67589613663023,0.325729474017723,"Pre-1990","pampeana"
1.64206094054123,0.3556248055317,"Pre-1990","pampeana"
1.60653869647334,0.384939125529276,"Pre-1990","pampeana"
1.56936481377196,0.413643212858759,"Pre-1990","pampeana"
1.53057634817182,0.441708454661654,"Pre-1990","pampeana"
1.49021196485899,0.469106874894577,"Pre-1990","pampeana"
1.44831189992858,0.495811162216388,"Pre-1990","pampeana"
1.40491792027654,0.521794697212731,"Pre-1990","pampeana"
1.3600732819655,0.54703157893084,"Pre-1990","pampeana"
1.31382268710621,0.571496650698176,"Pre-1990","pampeana"
1.26621223929746,0.595165525199141,"Pre-1990","pampeana"
1.21728939766903,0.618014608784894,"Pre-1990","pampeana"
1.16710292957343,0.640021124991999,"Pre-1990","pampeana"
1.11570286197349,0.661163137246512,"Pre-1990","pampeana"
1.06314043157442,0.68141957073083,"Pre-1990","pampeana"
1.00946803374995,0.700770233391524,"Pre-1990","pampeana"
0.95473917031348,0.719195836067224,"Pre-1990","pampeana"
0.899008396186314,0.736678011716468,"Pre-1990","pampeana"
0.842331265016115,0.753199333726372,"Pre-1990","pampeana"
0.784764273799823,0.768743333283858,"Pre-1990","pampeana"
0.726364806566234,0.783294515792121,"Pre-1990","pampeana"
0.667191077174334,0.796838376315983,"Pre-1990","pampeana"
0.607302071284472,0.809361414040727,"Pre-1990","pampeana"
0.546757487560166,0.820851145730001,"Pre-1990","pampeana"
0.485617678159172,0.831296118169383,"Pre-1990","pampeana"
0.423943588573151,0.840685919583192,"Pre-1990","pampeana"
0.361796696875867,0.849011190013173,"Pre-1990","pampeana"
0.299238952440512,0.856263630648706,"Pre-1990","pampeana"
0.236332714187228,0.862436012099241,"Pre-1990","pampeana"
0.173140688422363,0.867522181600715,"Pre-1990","pampeana"
0.109725866331482,0.871517069148755,"Pre-1990","pampeana"
0.0461514611883654,0.874416692552575,"Pre-1990","pampeana"
-0.0175191546573426,0.876218161404505,"Pre-1990","pampeana"
-0.0812225129510843,0.876919679961217,"Pre-1990","pampeana"
-0.144895112799912,0.876520548933756,"Pre-1990","pampeana"
-0.208473483971566,0.875021166184611,"Pre-1990","pampeana"
-0.271894250162984,0.872423026331114,"Pre-1990","pampeana"
-0.335094192175171,0.868728719255574,"Pre-1990","pampeana"
-0.398010310931482,0.863941927523628,"Pre-1990","pampeana"
-0.460579890276462,0.858067422713375,"Pre-1990","pampeana"
-0.522740559492676,0.851111060658966,"Pre-1990","pampeana"
-0.584430355473204,0.843079775613382,"Pre-1990","pampeana"
-0.645587784487801,0.833981573336218,"Pre-1990","pampeana"
-0.706151883481198,0.823825523113368,"Pre-1990","pampeana"
-0.76606228084239,0.812621748716565,"Pre-1990","pampeana"
-0.825259256584376,0.800381418311783,"Pre-1990","pampeana"
-0.883683801874343,0.787116733326569,"Pre-1990","pampeana"
-0.941277677854947,0.77284091628739,"Pre-1990","pampeana"
-0.997983473698081,0.757568197639138,"Pre-1990","pampeana"
-1.05374466383323,0.741313801559906,"Pre-1990","pampeana"
-1.10850566429339,0.724093930785203,"Pre-1990","pampeana"
-1.16221188812238,0.705925750456706,"Pre-1990","pampeana"
-1.21480979978831,0.686827371011684,"Pre-1990","pampeana"
-1.26624696854894,0.666817830130111,"Pre-1990","pampeana"
-1.31647212071582,0.645917073757499,"Pre-1990","pampeana"
-1.36543519076499,0.624145936222344,"Pre-1990","pampeana"
-1.41308737124338,0.60152611946801,"Pre-1990","pampeana"
-1.45938116142118,0.578080171419767,"Pre-1990","pampeana"
-1.50427041464156,0.553831463508523,"Pre-1990","pampeana"
-1.54771038432067,0.528804167373678,"Pre-1990","pampeana"
-1.58965776855201,0.503023230768301,"Pre-1990","pampeana"
-1.63007075327073,0.476514352690678,"Pre-1990","pampeana"
-1.66890905393477,0.449303957766982,"Pre-1990","pampeana"
-1.7061339556814,0.421419169910635,"Pre-1990","pampeana"
-1.74170835191898,0.3928877852846,"Pre-1990","pampeana"
-1.7755967813157,0.363738244593564,"Pre-1990","pampeana"
-1.80776546314814,0.33399960473362,"Pre-1990","pampeana"
-1.83818233097465,0.30370150982773,"Pre-1990","pampeana"
-1.86681706459989,0.272874161675804,"Pre-1990","pampeana"
-1.89364112029864,0.241548289648906,"Pre-1990","pampeana"
-1.91862775926882,0.209755120057534,"Pre-1990","pampeana"
-1.94175207428531,0.177526345024564,"Pre-1990","pampeana"
-1.962991014528,0.144894090893851,"Pre-1990","pampeana"
-1.98232340855935,0.111890886205985,"Pre-1990","pampeana"
-1.99972998542857,0.0785496292731424,"Pre-1990","pampeana"
-2.01519339388127,0.0449035553853271,"Pre-1990","pampeana"
-2.02869821965563,0.010986203680714,"Pre-1990","pampeana"
-2.0402310008476,-0.023168616286894,"Pre-1990","pampeana"
-2.04978024133008,-0.0575268582501678,"Pre-1990","pampeana"
-2.0573364222125,-0.0920542731663055,"Pre-1990","pampeana"
-2.06289201132941,-0.12671644335723,"Pre-1990","pampeana"
-2.06644147074876,-0.161478816817874,"Pre-1990","pampeana"
